Group,Epoch,Subject,Frequency (Hz),Coherence
Males PRE,Post-bout (0–10s),M506,2.523,0.1851
Males PRE,Post-bout (0–10s),M506,2.7753,0.1782
Males PRE,Post-bout (0–10s),M506,3.0276,0.2698
Males PRE,Post-bout (0–10s),M506,3.2799,0.0931
Males PRE,Post-bout (0–10s),M506,3.5322,0.0641
Males PRE,Post-bout (0–10s),M506,3.7845,0.0289
Males PRE,Post-bout (0–10s),M506,4.0368,0.044
Males PRE,Post-bout (0–10s),M506,4.2891,0.0303
Males PRE,Post-bout (0–10s),M506,4.5414,0.2009
Males PRE,Post-bout (0–10s),M506,4.7937,0.1711
Males POST,Pre-bout (t<0),M503,0.2523,0.1164
Males POST,Pre-bout (t<0),M503,0.5046,0.178
Males POST,Pre-bout (t<0),M503,0.7569,0.0666
Males POST,Pre-bout (t<0),M503,1.0092,0.0071
Males POST,Pre-bout (t<0),M503,1.2615,0.0086
Males POST,Pre-bout (t<0),M503,1.5138,0.0091
Males POST,Pre-bout (t<0),M503,1.7661,0.0223
Males POST,Pre-bout (t<0),M503,2.0184,0.0198
Males POST,Pre-bout (t<0),M503,2.2707,0.041
Males POST,Pre-bout (t<0),M503,2.523,0.2016
Males POST,Pre-bout (t<0),M503,2.7753,0.1434
Males POST,Pre-bout (t<0),M503,3.0276,0.0786
Males POST,Pre-bout (t<0),M503,3.2799,0.2168
Males POST,Pre-bout (t<0),M503,3.5322,0.1417
Males POST,Pre-bout (t<0),M503,3.7845,0.0016
Males POST,Pre-bout (t<0),M503,4.0368,0.0128
Males POST,Pre-bout (t<0),M503,4.2891,0.0678
Males POST,Pre-bout (t<0),M503,4.5414,0.0531
Males POST,Pre-bout (t<0),M503,4.7937,0.1235
Males POST,Pre-bout (t<0),M504,0.2523,0.1436
Males POST,Pre-bout (t<0),M504,0.5046,0.4318
Males POST,Pre-bout (t<0),M504,0.7569,0.2666
Males POST,Pre-bout (t<0),M504,1.0092,0.1513
Males POST,Pre-bout (t<0),M504,1.2615,0.0033
Males POST,Pre-bout (t<0),M504,1.5138,0.2188
Males POST,Pre-bout (t<0),M504,1.7661,0.0998
Males POST,Pre-bout (t<0),M504,2.0184,0.0437
Males POST,Pre-bout (t<0),M504,2.2707,0.0551
Males POST,Pre-bout (t<0),M504,2.523,0.0084
Males POST,Pre-bout (t<0),M504,2.7753,0.05
Males POST,Pre-bout (t<0),M504,3.0276,0.0438
