Group,Subject,Frequency (Hz),Coherence
Males POST,M504,1.6526,0.2158
Males POST,M504,1.7027,0.2053
Males POST,M504,1.7528,0.0525
Males POST,M504,1.8029,0.0002
Males POST,M504,1.8529,0.0521
Males POST,M504,1.903,0.0138
Males POST,M504,1.9531,0.0825
Males POST,M504,2.0032,0.2065
Males POST,M504,2.0533,0.0276
Males POST,M504,2.1033,0.2676
Males POST,M504,2.1534,0.1493
Males POST,M504,2.2035,0.028
Males POST,M504,2.2536,0.0367
Males POST,M504,2.3037,0.2141
Males POST,M504,2.3537,0.1906
Males POST,M504,2.4038,0.2486
Males POST,M504,2.4539,0.2091
Males POST,M504,2.504,0.1602
Males POST,M504,2.554,0.5732
Males POST,M504,2.6041,0.0464
Males POST,M504,2.6542,0.0469
Males POST,M504,2.7043,0.0192
Males POST,M504,2.7544,0.1105
Males POST,M504,2.8044,0.5514
Males POST,M504,2.8545,0.5924
Males POST,M504,2.9046,0.4071
Males POST,M504,2.9547,0.3305
Males POST,M504,3.0048,0.3555
Males POST,M504,3.0548,0.1364
Males POST,M504,3.1049,0.6022
Males POST,M504,3.155,0.1575
Males POST,M504,3.2051,0.1533
Males POST,M504,3.2552,0.0055
Males POST,M504,3.3052,0.1882
Males POST,M504,3.3553,0.2512
Males POST,M504,3.4054,0.0309
Males POST,M504,3.4555,0.293
Males POST,M504,3.5056,0.0026
Males POST,M504,3.5556,0.0224
Males POST,M504,3.6057,0.3555
Males POST,M504,3.6558,0.0447
Males POST,M504,3.7059,0.2166
Males POST,M504,3.756,0.094
Males POST,M504,3.806,0.0174
Males POST,M504,3.8561,0.22
Males POST,M504,3.9062,0.0117
Males POST,M504,3.9563,0.2817
Males POST,M504,4.0064,0.1567
Males POST,M504,4.0564,0.1707
Males POST,M504,4.1065,0.1733
Males POST,M504,4.1566,0.0588
Males POST,M504,4.2067,0.1727
Males POST,M504,4.2567,0.1833
Males POST,M504,4.3068,0.1088
Males POST,M504,4.3569,0.0586
Males POST,M504,4.407,0.1169
Males POST,M504,4.4571,0.1146
Males POST,M504,4.5071,0.0169
Males POST,M504,4.5572,0.3781
Males POST,M504,4.6073,0.1361
Males POST,M504,4.6574,0.3609
Males POST,M504,4.7075,0.1004
Males POST,M504,4.7575,0.0208
Males POST,M504,4.8076,0.3307
Males POST,M504,4.8577,0.2473
Males POST,M504,4.9078,0.4121
Males POST,M504,4.9579,0.3414
Males POST,M502,0.0501,0.8791
Males POST,M502,0.1002,0.7354
Males POST,M502,0.1502,0.4287
Males POST,M502,0.2003,0.3624
Males POST,M502,0.2504,0.5619
Males POST,M502,0.3005,0.3516
Males POST,M502,0.3506,0.4971
Males POST,M502,0.4006,0.323
Males POST,M502,0.4507,0.4514
Males POST,M502,0.5008,0.4595
Males POST,M502,0.5509,0.318
Males POST,M502,0.601,0.3547
Males POST,M502,0.651,0.7219
Males POST,M502,0.7011,0.3975
Males POST,M502,0.7512,0.0006
Males POST,M502,0.8013,0.1181
Males POST,M502,0.8513,0.0702
Males POST,M502,0.9014,0.1632
Males POST,M502,0.9515,0.0982
Males POST,M502,1.0016,0.253
Males POST,M502,1.0517,0.4012
Males POST,M502,1.1017,0.3257
Males POST,M502,1.1518,0.0149
Males POST,M502,1.2019,0.2054
Males POST,M502,1.252,0.1962
Males POST,M502,1.3021,0.3694
Males POST,M502,1.3521,0.3808
Males POST,M502,1.4022,0.1555
Males POST,M502,1.4523,0.5781
Males POST,M502,1.5024,0.6392
Males POST,M502,1.5525,0.5761
Males POST,M502,1.6025,0.0628
Males POST,M502,1.6526,0.1768
Males POST,M502,1.7027,0.1298
Males POST,M502,1.7528,0.374
Males POST,M502,1.8029,0.2398
Males POST,M502,1.8529,0.0653
Males POST,M502,1.903,0.0949
Males POST,M502,1.9531,0.3137
Males POST,M502,2.0032,0.0172
Males POST,M502,2.0533,0.2337
Males POST,M502,2.1033,0.1272
Males POST,M502,2.1534,0.0595
Males POST,M502,2.2035,0.5919
Males POST,M502,2.2536,0.162
Males POST,M502,2.3037,0.2716
Males POST,M502,2.3537,0.3555
Males POST,M502,2.4038,0.4608
Males POST,M502,2.4539,0.3694
Males POST,M502,2.504,0.114
Males POST,M502,2.554,0.0686
Males POST,M502,2.6041,0.4473
Males POST,M502,2.6542,0.1046
Males POST,M502,2.7043,0.2601
Males POST,M502,2.7544,0.349
Males POST,M502,2.8044,0.0943
Males POST,M502,2.8545,0.2212
Males POST,M502,2.9046,0.0097
Males POST,M502,2.9547,0.1164
Males POST,M502,3.0048,0.066
Males POST,M502,3.0548,0.339
Males POST,M502,3.1049,0.0727
